Column1,Column2,Column3,Column4,Column5
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevdsopsbackstage-10.60.196.0_24,g-nsg-1n-platform01-aksdevdsopsbackstage-10.60.196.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyseoecicd-10.60.197.0_24,g-nsg-1n-platform01-akssyseoecicd-10.60.197.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyseoecicd01-10.60.198.0_24,g-nsg-1n-platform01-akssyseoecicd01-10.60.198.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysarch03-10.60.199.0_24,g-nsg-1n-platform01-akssysarch03-10.60.199.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevarch03-10.60.200.0_24,g-nsg-1n-platform01-aksdevarch03-10.60.200.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysarch0101-10.60.202.0_24,g-nsg-1n-platform01-akssysarch0101-10.60.202.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyssaltsecurity-10.125.103.128_25,g-nsg-1n-platform01-akssyssaltsecurity-10.125.103.128_25
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysprisma-10.60.203.0_24,g-nsg-1n-platform01-akssysprisma-10.60.203.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevprisma-10.60.204.0_24,g-nsg-1n-platform01-aksdevprisma-10.60.204.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,githubactionplink-10.125.79.0_28,g-nsg-1n-platform01-githubactionplink-10.125.79.0_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,appdeployauditingsrvc-10.125.104.0_24,g-nsg-1n-platform01-appdeployauditingsrvc-10.125.104.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdeveoecicdrunner01-10.60.205.0_24,g-nsg-1n-platform01-aksdeveoecicdrunner01-10.60.205.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksstageeoecicdrunner01-10.60.206.0_24,g-nsg-1n-platform01-aksstageeoecicdrunner01-10.60.206.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyseoecicdrunner01-10.60.207.0_24,g-nsg-1n-platform01-akssyseoecicdrunner01-10.60.207.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,appdeployauditsvc-10.112.10.32_27,g-nsg-1n-platform01-appdeployauditsvc-10.112.10.32_27
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevnetarchcalico-10.60.209.0_24,g-nsg-1n-platform01-aksdevnetarchcalico-10.60.209.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysnetarchcalico-10.60.210.0_25,g-nsg-1n-platform01-akssysnetarchcalico-10.60.210.0_25
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,apiplatformperf-10.112.10.64_27,g-nsg-1n-platform01-apiplatformperf-10.112.10.64_27
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevplan01-10.60.224.0_20,g-nsg-1n-platform01-aksdevplan01-10.60.224.0_20
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksstageplan01-10.60.240.0_20,g-nsg-1n-platform01-aksstageplan01-10.60.240.0_20
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysplan01-10.60.211.0_24,g-nsg-1n-platform01-akssysplan01-10.60.211.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,vela-10.60.212.0_24,g-nsg-1n-platform01-vela-10.60.212.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevnetarchazcnioverlay-10.60.213.0_24,g-nsg-1n-platform01-aksdevnetarchazcnioverlay-10.60.213.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysnetarchazcnioverlay-10.60.210.128_25,g-nsg-1n-platform01-akssysnetarchazcnioverlay-10.60.210.128_25
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyscaas02-10.60.214.0_24,g-nsg-1n-platform01-akssyscaas02-10.60.214.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysmonitoringplatform02-10.60.215.0_24,g-nsg-1n-platform01-akssysmonitoringplatform02-10.60.215.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,devkafkapocplink-10.111.245.208_28,g-nsg-1n-platform01-devkafkapocplink-10.111.245.208_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevhubship-10.60.218.0_23,g-nsg-1n-platform01-aksdevhubship-10.60.218.0_23
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevcfbridge02-10.60.220.0_22,g-nsg-1n-platform01-aksdevcfbridge02-10.60.220.0_22
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevcdpplatform-10.125.94.0_24,g-nsg-1n-platform01-aksdevcdpplatform-10.125.94.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksstagecdpplatform-10.125.95.0_24,g-nsg-1n-platform01-aksstagecdpplatform-10.125.95.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyscdpplatform-10.125.112.0_24,g-nsg-1n-platform01-akssyscdpplatform-10.125.112.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevhubnoname01-10.112.112.0_24,g-nsg-1n-platform01-aksdevhubnoname01-10.112.112.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyshubnoname01-10.112.113.0_24,g-nsg-1n-platform01-akssyshubnoname01-10.112.113.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevobserve-10.112.116.0_23,g-nsg-1n-platform01-aksdevobserve-10.112.116.0_23
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksstageobserve-10.112.118.0_23,g-nsg-1n-platform01-aksstageobserve-10.112.118.0_23
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysobserve-10.112.3.0_24,g-nsg-1n-platform01-akssysobserve-10.112.3.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,testpemoleui-10.117.246.128_26,g-nsg-1n-platform01-testpemoleui-10.117.246.128_26
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,devgvmx2pmonplatgrafana-10.112.115.0_24,g-nsg-1n-platform01-devgvmx2pmonplatgrafana-10.112.115.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevcdp-10.112.120.0_24,g-nsg-1n-platform01-aksdevcdp-10.112.120.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyscdp-10.112.121.0_24,g-nsg-1n-platform01-akssyscdp-10.112.121.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,devsecopscoderpostgresservice-10.117.246.192_28,g-nsg-1n-platform01-devsecopscoderpostgresservice-10.117.246.192_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,testgrafanaissues-10.112.122.0_24,g-nsg-1n-platform01-testgrafanaissues-10.112.122.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyshubobserve01-10.112.123.0_24,g-nsg-1n-platform01-akssyshubobserve01-10.112.123.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksaksdevobserve-10.112.124.0_23,g-nsg-1n-platform01-aksaksdevobserve-10.112.124.0_23
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksaksstageobserve-10.112.126.0_23,g-nsg-1n-platform01-aksaksstageobserve-10.112.126.0_23
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyscraf-10.112.2.16_28,g-nsg-1n-platform01-akssyscraf-10.112.2.16_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevcraf-10.112.2.32_28,g-nsg-1n-platform01-aksdevcraf-10.112.2.32_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akscraf-10.112.2.48_28,g-nsg-1n-platform01-akscraf-10.112.2.48_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,devgoshortsappgw-10.112.2.64_28,g-nsg-1n-platform01-devgoshortsappgw-10.112.2.64_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,cloudfinopsdatabrickspublic-10.111.19.0_26,g-nsg-1n-platform01-cloudfinopsdatabrickspublic-10.111.19.0_26
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,cloudfinopsdatabricksprivate-10.111.19.64_26,g-nsg-1n-platform01-cloudfinopsdatabricksprivate-10.111.19.64_26
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,stagenopeui-10.111.19.128_25,g-nsg-1n-platform01-stagenopeui-10.111.19.128_25
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,cloudoptimizationpowerbidashbo-10.125.66.0_24,g-nsg-1n-platform01-cloudoptimizationpowerbidashbo-10.125.66.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,cloudoptimizationpowerbidashbo01-10.125.70.0_24,g-nsg-1n-platform01-cloudoptimizationpowerbidashbo01-10.125.70.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,devmywizard-10.125.71.0_27,g-nsg-1n-platform01-devmywizard-10.125.71.0_27
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,appdeploybudibaseappgw-10.125.71.32_28,g-nsg-1n-platform01-appdeploybudibaseappgw-10.125.71.32_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,accentureavd-10.125.72.0_24,g-nsg-1n-platform01-accentureavd-10.125.72.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,devshipautomation-10.125.75.0_24,g-nsg-1n-platform01-devshipautomation-10.125.75.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,devstgaccauto-10.125.80.0_24,g-nsg-1n-platform01-devstgaccauto-10.125.80.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,devportalpostgresdev-10.125.71.48_28,g-nsg-1n-platform01-devportalpostgresdev-10.125.71.48_28
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,testitemprice-10.125.73.0_25,g-nsg-1n-platform01-testitemprice-10.125.73.0_25
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,noname-10.125.81.0_24,g-nsg-1n-platform01-noname-10.125.81.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,askdeveloperportalappgw-10.125.82.0_24,g-nsg-1n-platform01-askdeveloperportalappgw-10.125.82.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevcdpsandbox-10.125.83.0_24,g-nsg-1n-platform01-aksdevcdpsandbox-10.125.83.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyscdpsandbox-10.60.201.0_24,g-nsg-1n-platform01-akssyscdpsandbox-10.60.201.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,stageitemprice--10.111.244.0_25,g-nsg-1n-platform01-stageitemprice--10.111.244.0_25
g-platform-n01,g-rsg-1n-platformSecurity01-network-01,g-vnt-1n-platformSecurity01-01,ingresspanuntrusted-10.117.132.32_27,g-nsg-1n-platformSecurity01-ingresspanuntrusted-10.117.132.32_27
g-platform-n01,g-rsg-1n-platformSecurity01-network-01,g-vnt-1n-platformSecurity01-01,ingresspantrusted-10.117.132.64_27,g-nsg-1n-platformSecurity01-ingresspantrusted-10.117.132.64_27
g-platform-n01,g-rsg-1n-platformSecurity01-network-01,g-vnt-1n-platformSecurity01-01,egresspanuntrusted-10.117.132.128_27,g-nsg-1n-platformSecurity01-egresspanuntrusted-10.117.132.128_27
g-platform-n01,g-rsg-1n-platformSecurity01-network-01,g-vnt-1n-platformSecurity01-01,netsec-10.117.133.64_26,g-nsg-1n-platformSecurity01-netsec-10.117.133.64_26
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,bastionhosts-10.119.5.160_27,g-nsg-2n-platform01-bastionhosts-10.119.5.160_27
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,akssyseoecicd01-10.85.198.0_24,g-nsg-2n-platform01-akssyseoecicd01-10.85.198.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,akssysarch0101-10.85.202.0_24,g-nsg-2n-platform01-akssysarch0101-10.85.202.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksdevprisma-10.85.204.0_24,g-nsg-2n-platform01-aksdevprisma-10.85.204.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,githubactionplink-10.126.79.0_28,g-nsg-2n-platform01-githubactionplink-10.126.79.0_28
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,appdeployauditingsrvc-10.126.104.0_24,g-nsg-2n-platform01-appdeployauditingsrvc-10.126.104.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksdeveoecicdrunner01-10.85.205.0_24,g-nsg-2n-platform01-aksdeveoecicdrunner01-10.85.205.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksstageeoecicdrunner01-10.85.206.0_24,g-nsg-2n-platform01-aksstageeoecicdrunner01-10.85.206.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,akssyseoecicdrunner01-10.85.207.0_24,g-nsg-2n-platform01-akssyseoecicdrunner01-10.85.207.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,appdeployauditsvc-10.115.10.32_27,g-nsg-2n-platform01-appdeployauditsvc-10.115.10.32_27
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksdevnetarchcalico-10.85.209.0_24,g-nsg-2n-platform01-aksdevnetarchcalico-10.85.209.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,akssysnetarchcalico-10.85.210.0_25,g-nsg-2n-platform01-akssysnetarchcalico-10.85.210.0_25
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,apiplatformperf-10.115.10.64_27,g-nsg-2n-platform01-apiplatformperf-10.115.10.64_27
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksdevplan01-10.85.224.0_20,g-nsg-2n-platform01-aksdevplan01-10.85.224.0_20
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksstageplan01-10.85.240.0_20,g-nsg-2n-platform01-aksstageplan01-10.85.240.0_20
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,akssysplan01-10.85.211.0_24,g-nsg-2n-platform01-akssysplan01-10.85.211.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,vela-10.85.212.0_24,g-nsg-2n-platform01-vela-10.85.212.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksdevnetarchazcnioverlay-10.85.213.0_24,g-nsg-2n-platform01-aksdevnetarchazcnioverlay-10.85.213.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,akssysnetarchazcnioverlay-10.85.210.128_25,g-nsg-2n-platform01-akssysnetarchazcnioverlay-10.85.210.128_25
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,devkafkapocplink-10.110.245.208_28,g-nsg-2n-platform01-devkafkapocplink-10.110.245.208_28
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,testpemoleui-10.119.246.128_26,g-nsg-2n-platform01-testpemoleui-10.119.246.128_26
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,devgvmx2pmonplatgrafana-10.115.115.0_24,g-nsg-2n-platform01-devgvmx2pmonplatgrafana-10.115.115.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,testgrafanaissues-10.115.122.0_24,g-nsg-2n-platform01-testgrafanaissues-10.115.122.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,akssyshubobserve01-10.115.123.0_24,g-nsg-2n-platform01-akssyshubobserve01-10.115.123.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksaksdevobserve-10.115.124.0_23,g-nsg-2n-platform01-aksaksdevobserve-10.115.124.0_23
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,aksaksstageobserve-10.115.126.0_23,g-nsg-2n-platform01-aksaksstageobserve-10.115.126.0_23
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,stagenopeui-10.110.19.128_25,g-nsg-2n-platform01-stagenopeui-10.110.19.128_25
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,cloudoptimizationpowerbidashbo-10.126.66.0_24,g-nsg-2n-platform01-cloudoptimizationpowerbidashbo-10.126.66.0_24
g-platform-n01,g-rsg-2n-platform01-network-01,g-vnt-2n-platform01-01,cloudoptimizationpowerbidashbo01-10.126.70.0_24,g-nsg-2n-platform01-cloudoptimizationpowerbidashbo01-10.126.70.0_24
g-platform-n01,g-rsg-2n-platformSecurity01-network-01,g-vnt-2n-platformSecurity01-01,ingresspanuntrusted-10.119.132.32_27,g-nsg-2n-platformSecurity01-ingresspanuntrusted-10.119.132.32_27
g-platform-n01,g-rsg-2n-platformSecurity01-network-01,g-vnt-2n-platformSecurity01-01,ingresspantrusted-10.119.132.64_27,g-nsg-2n-platformSecurity01-ingresspantrusted-10.119.132.64_27
g-platform-n01,g-rsg-2n-platformSecurity01-network-01,g-vnt-2n-platformSecurity01-01,egresspanuntrusted-10.119.132.128_27,g-nsg-2n-platformSecurity01-egresspanuntrusted-10.119.132.128_27
g-platform-n01,g-rsg-2n-platformSecurity01-network-01,g-vnt-2n-platformSecurity01-01,netsec-10.119.133.64_26,g-nsg-2n-platformSecurity01-netsec-10.119.133.64_26
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,analyticsplatformdatabricksprivate-10.119.186.0_24,g-nsg-2n-supplychain01-analyticsplatformdatabricksprivate-10.119.186.0_24
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,peteallocationtestappgw-10.108.98.0_24,g-nsg-2n-supplychain01-peteallocationtestappgw-10.108.98.0_24
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,plinkredisassortment-10.108.97.224_27,g-nsg-2n-supplychain01-plinkredisassortment-10.108.97.224_27
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,gporeportingip-10.108.109.64_28,g-nsg-2n-supplychain01-gporeportingip-10.108.109.64_28
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,gporeportingdatabrickspublic-10.108.109.128_26,g-nsg-2n-supplychain01-gporeportingdatabrickspublic-10.108.109.128_26
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,gporeportingdatabricksprivate-10.108.109.192_26,g-nsg-2n-supplychain01-gporeportingdatabricksprivate-10.108.109.192_26
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,ptforecastingdevhdispark-10.108.111.0_25,g-nsg-2n-supplychain01-ptforecastingdevhdispark-10.108.111.0_25
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,stagefulfillmentviewsv1-10.108.111.128_27,g-nsg-2n-supplychain01-stagefulfillmentviewsv1-10.108.111.128_27
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,saadapterdev-10.115.55.0_24,g-nsg-2n-supplychain01-saadapterdev-10.115.55.0_24
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,saadaptertest-10.126.202.0_24,g-nsg-2n-supplychain01-saadaptertest-10.126.202.0_24
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,saadapterstage-10.126.204.0_24,g-nsg-2n-supplychain01-saadapterstage-10.126.204.0_24
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,gakv2dspcptsdatappgw-10.126.206.0_24,g-nsg-2n-supplychain01-gakv2dspcptsdatappgw-10.126.206.0_24
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,stageflashvm-10.108.111.160_27,g-nsg-2n-supplychain01-stageflashvm-10.108.111.160_27
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,testdfs-10.126.232.0_24,g-nsg-2n-supplychain01-testdfs-10.126.232.0_24
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,akscdpsys-10.126.235.0_24,g-nsg-2n-supplychain01-akscdpsys-10.126.235.0_24
g-supplychain-n01,g-rsg-2n-supplychain01-network-01,g-vnt-2n-supplychain01-01,akscdpstage-10.126.252.0_24,g-nsg-2n-supplychain01-akscdpstage-10.126.252.0_24
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,aksdevreceiptmanager-10.125.228.0_24,g-nsg-1n-supplychain01-aksdevreceiptmanager-10.125.228.0_24
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,aksstagereceiptmanager-10.125.230.0_24,g-nsg-1n-supplychain01-aksstagereceiptmanager-10.125.230.0_24
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,peteallocationtestappgw-10.100.98.0_24,g-nsg-1n-supplychain01-peteallocationtestappgw-10.100.98.0_24
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,plmappgwstageaspera2-10.100.97.208_28,g-nsg-1n-supplychain01-plmappgwstageaspera2-10.100.97.208_28
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,stagestorepldatabrickspublic-10.100.108.64_26,g-nsg-1n-supplychain01-stagestorepldatabrickspublic-10.100.108.64_26
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,stagestorepldatabricksprivate-10.100.108.128_26,g-nsg-1n-supplychain01-stagestorepldatabricksprivate-10.100.108.128_26
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,devstoreplandatabrickspublic-10.100.108.192_26,g-nsg-1n-supplychain01-devstoreplandatabrickspublic-10.100.108.192_26
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,devstoreplandatabricksprivate-10.100.109.0_26,g-nsg-1n-supplychain01-devstoreplandatabricksprivate-10.100.109.0_26
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,plinkredisassortment-10.100.97.224_27,g-nsg-1n-supplychain01-plinkredisassortment-10.100.97.224_27
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,gporeportingip-10.100.109.64_28,g-nsg-1n-supplychain01-gporeportingip-10.100.109.64_28
g-supplychain-n01,g-rsg-1n-supplychain01-network-01,g-vnt-1n-supplychain01-01,gporeportingdatabrickspublic-10.100.109.128_26,g-nsg-1n-supplychain01-gporeportingdatabrickspublic-10.100.109.128_26
